procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 2075120 205020   5428 153084  244    0   244    36 3787 7524 11  8 80  1  1
 0  1 2074804 198988   5428 158124  916    0   916     0 2789 5034 18  4 75  3  1
 1  0 2074420 197904   5428 158532  848    0   848     0 2708 4514  6  4 87  2  1
 1  0 2071792 195312   5428 158640 2936    0  2936     0 3246 4756  7  4 80 10  0
 0  0 2071688 195284   5428 158580  168    0   168     0 2560 4303  5  4 90  1  1
 2  0 2071640 192964   5436 160828   36    0    36  9652 2492 3791 12  4 83  1  1
 1  0 2071424 189300   5436 163980  308    0   308     0 2659 4520  7  7 85  1  1
 0  0 2071276 188160   5436 164580  200    0   504    20 2144 3406  6  4 89  1  1
 1  0 2071176 188128   5436 164632   68    0    68     0 1537 1807  2  2 97  0  0
 0  0 2071148 187908   5436 164592   36    0    36     0 2003 3311 10  2 87  0  1
 2  0 2071008 181804   5444 169876  156    0   156  8720 1695 1992  8  4 87  1  1
 0  0 2070916 181656   5444 170144  116    0   116     0 2233 3386  9  4 87  0  1
 0  0 2070728 181728   5444 170152  212    0   212     0 2619 2726  6  3 91  1  1
 1  0 2070704 181396   5444 170248   40    0    40     0 2501 2689  5  2 92  0  1
 2  0 2070528 181400   5444 170304  236    0   236     0 2085 1851 20  2 77  1  0
 2  0 2064288 170324   5452 175528 6300    0  6300  6708 2585 2857 75  2 10 13  1
 1  2 2057092 162500   5452 175616 7328    0  7328     0 2816 2516 57  2 25 16  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 2033500 133592   5452 180528 24040    0 24040  8732 4103 4950 28  5 15 52  1
 2  0 2011216 110904   5452 179560 24480 2504 24480  2504 4543 5007 25  6  9 60  1
 0  1 2078336 124900   5064 164784 1352 67908  1352 67908 3554 1417 71 13  1 14  0
 3  0 2077504 122060   5072 164608 2392    0  2392    68 2343 1441 86  1  5  5  3
 1  0 2077100 129920   5072 169664  476    0   480     0 6482 1356 88  5  7  0  0
 1  0 2076904 129488   5072 169436  280    0   280  6768 2168 1102 55  1 43  1  1
 4  0 2076872 129616   5072 169496   52    0    52     0 2230 1115 67  1 32  1  0
 0  2 2075656 125988   4968 165788 18028 14596 18028 14596 5611 12361 55  8 18 18  0
 1  2 2059036 114784   4984 163956 28552 8304 28576  8344 5223 15870 40  9 14 36  1
 0  2 2057408 109532   4816 158436 33800 31988 33800 31988 8488 5571  6 10  6 77  2
 0  2 2080304 139288   4696 150824 33700 56188 33796 56188 10358 5652  6 15  7 72  1
 0  2 2047388 105900   4696 150796 33824    0 33824     0 5473 6786  9  5  2 82  1
 1  2 2049784 118280   4656 147468 29528 31636 29528 31636 8918 8559 30 15  9 45  1
 0  5 2128400 104148   4248 140140 19628 99888 19628 99888 12490 3798 10 28  7 54  1
 0  2 2161124 140876   3644 134996 1812 36168  5872 36200 2911 4583 10 32  3 52  3
 0  2 2127604 124720   3488 132884 34660  816 34664   816 4043 6078 13  7 12 67  1
 1  2 2095472 121308   3284 130488 35912 2632 35912  2632 4983 6743  5  4  6 84  1
 4  1 2080768 117600   3264 128968 16436 1172 16448  1172 4233 11111 45  7  6 42  1
 4  2 2080120 123628   1956 111488 28520 27588 28520 27588 5615 5609  5  9  9 76  1
 1  2 2081144 130764   1568 107400 35120 33560 35436 33612 7675 6467  5 12  6 76  2
 2  0 2069964 120468   2820 106512 22980 9308 25692  9336 4439 15737 47  9  3 41  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2 2114032 159108   1856 102616 22900 67612 23636 67616 5188 4678  5 18  0 75  1
 2  1 2077960 127252   1856 102384 33004    0 33004     0 4843 6406  6  5  4 85  1
 0  2 2074220 131364   1268 101204 34096 29752 34140 29772 5490 6275  5  8  7 78  2
 1  2 2076348 117988   1196 107384 27748 23220 30472 28068 4722 5764 58  7  2 33  1
 2  0 2091892 141064    956 105344 12744 26972 12756 26972 3697 3785 56  7  5 30  2
 0  1 2089752 128728    956 105508 12064    0 12464     0 3048 4143  6  3 48 43  1
 0  1 2088724 115480    956 105648 14208    0 14336     0 2959 3912  1  4 49 46  1
 0  2 2109332 123400    916 109916 11888 28524 12480 33676 4033 3357 19  8 31 41  2
 1  1 2083712 119684    820 108588 27988  364 28012   364 3554 4118 49  5  1 45  0
 0  7 2130632 130972    740 109912 15088 59952 17508 60004 4052 3191 43 11  4 40  2
 1  2 2108532 109780    740 108920 23692    0 24684     0 3017 3408 45  5  0 50  1
